nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,cellLevel,cellKey,priceBasis,note,confidence,träff_intervall,träff_default,avvikelse,felklass
1,IKEA Ektorp,kärnnamn,400,900,600,1000,1500,109,filtered,type_system:text+union3,43.8,weighted,2-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 109 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,False,0.1111111111111111,storlek
1,IKEA Ektorp,kärnnamn + bild,400,900,600,1000,1500,109,filtered,type_system:text+union3,43.8,weighted,2-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 109 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,False,0.1111111111111111,storlek
2,IKEA Söderhamn bäddsoffa,kärnnamn,2000,2500,100,2500,4200,50,weighted,type_system:text,12.5,filtered,3-sits,,variant,['baddsoffa'],none,,,asking,Baserat på 50 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,True,0.0,storlek
2,IKEA Söderhamn bäddsoffa,kärnnamn + bild,2000,2500,100,2500,4200,50,weighted,type_system:text,12.5,filtered,3-sits,,variant,['baddsoffa'],none,,,asking,Baserat på 50 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,True,0.0,storlek
3,IKEA Vimle,kärnnamn,1500,3000,2000,2500,4000,92,filtered,type_system:text+union3,40.2,weighted,3-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 92 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,True,0.0,storlek
3,IKEA Vimle,kärnnamn + bild,1500,3000,2000,2500,4000,92,filtered,type_system:text+union3,40.2,weighted,3-sits,,storlek,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 92 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast bäddsoffa, hörnsoffa eller soffa.",high,True,True,0.0,storlek
4,Mio Cordelia,kärnnamn,1500,3000,1300,2850,9000,11,ignored,type_system:text,11.0,none,,,,['fatolj'],none,,,asking,"Baserat på 11 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen fåtölj gav för tunt underlag och ingår inte i beräkningen.",high,True,True,0.0,tunt
4,Mio Cordelia,kärnnamn + bild,1500,3000,1300,2850,9000,11,ignored,type_system:text,11.0,none,,,,['fatolj'],none,,,asking,"Baserat på 11 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Möbeltypen fåtölj gav för tunt underlag och ingår inte i beräkningen.",high,True,True,0.0,tunt
5,IKEA Jennylund,kärnnamn,200,700,150,250,600,15,weighted,type_system:text,12.8,none,,,variant,['fatolj'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt
5,IKEA Jennylund,kärnnamn + bild,200,700,150,250,600,15,weighted,type_system:text,12.8,none,,,variant,['fatolj'],none,,,asking,"Baserat på 15 liknande annonser. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder.",high,True,True,0.0,tunt
6,IKEA Strandmon,kärnnamn,1000,2000,750,900,1200,59,filtered,type_system:text,59.0,none,,,,['fatolj'],none,,,asking,Baserat på 59 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,False,-0.1,övrigt
6,IKEA Strandmon,kärnnamn + bild,1000,2000,750,900,1200,59,filtered,type_system:text,59.0,none,,,,['fatolj'],none,,,asking,Baserat på 59 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Endast fåtölj.,high,True,False,-0.1,övrigt
